project,bug_id,split,method,num_test_classes,num_trigger_classes,first_trigger_rank,normalized_first_trigger_rank,detected_at_1pct,detected_at_2pct,detected_at_5pct,detected_at_10pct,detected_at_20pct,detected_at_50pct,detected_at_100pct,reciprocal_rank,apfd,candidate_trigger_in_top200,reranker_input_tokens,reranker_output_tokens,reranker_cost_usd,reranker_wall_ms,patch_truncated,missing_test_source_count,qualified_id,experiment_commit,run_id,available
Cli,19,evaluation,GPT-Nano,23,1,1,0.043478260869565216,true,true,true,true,true,true,true,1.0,0.9782608695652174,true,35853.0,437.0,0.008141276749999999,3222.3526039742865,false,0,Cli-19,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,21,evaluation,Random,51,1,26.32,0.5160784313725493,0.022,0.042,0.063,0.122,0.217,0.5,1.0,0.09068812972540281,0.4937254901960785,true,,,0.0,,false,0,Cli-21,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,21,evaluation,BM25,51,1,49,0.9607843137254902,false,false,false,false,false,false,true,0.02040816326530612,0.049019607843137226,true,,,0.0,,false,0,Cli-21,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,21,evaluation,Embedding,51,1,42,0.8235294117647058,false,false,false,false,false,false,true,0.023809523809523808,0.1862745098039216,true,39006.0,0.0,0.00029930349999999996,353.2834370554559,false,0,Cli-21,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,21,evaluation,Jev,51,1,4,0.0784313725490196,false,false,false,true,true,true,true,0.25,0.9313725490196079,true,139421.0,1224.0,0.006177744510000001,2096.338397008367,false,0,Cli-21,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,21,evaluation,GPT-Nano,51,1,2,0.0392156862745098,false,true,true,true,true,true,true,0.5,0.9705882352941176,true,111866.0,969.0,0.02488159475,8384.747809031978,false,0,Cli-21,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,22,evaluation,Random,22,2,7.631,0.3468636363636358,0.085,0.085,0.17,0.263,0.403,0.765,1.0,0.2515449770087151,0.6758636363636358,true,,,0.0,,false,0,Cli-22,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,22,evaluation,BM25,22,2,3,0.13636363636363635,false,false,false,true,true,true,true,0.3333333333333333,0.8863636363636364,true,,,0.0,,false,0,Cli-22,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,22,evaluation,Embedding,22,2,1,0.045454545454545456,true,true,true,true,true,true,true,1.0,0.9772727272727273,true,10026.243939393938,0.0,0.0002115537471212121,223.60003182742125,false,0,Cli-22,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,22,evaluation,Jev,22,2,1,0.045454545454545456,true,true,true,true,true,true,true,1.0,0.9772727272727273,true,52257.0,528.0,0.002315507669999999,1061.6659999941476,false,0,Cli-22,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,22,evaluation,GPT-Nano,22,2,1,0.045454545454545456,true,true,true,true,true,true,true,1.0,0.9772727272727273,true,42432.0,418.0,0.0095043895,3083.021216967609,false,0,Cli-22,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,23,evaluation,Random,23,1,12.206,0.530695652173913,0.031,0.031,0.08,0.136,0.216,0.5,1.0,0.15392278107001647,0.4910434782608698,true,,,0.0,,false,0,Cli-23,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,23,evaluation,BM25,23,1,2,0.08695652173913043,false,false,true,true,true,true,true,0.5,0.9347826086956522,true,,,0.0,,false,0,Cli-23,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,23,evaluation,Embedding,23,1,3,0.13043478260869565,false,false,false,true,true,true,true,0.3333333333333333,0.8913043478260869,true,8628.69632034632,0.0,0.00018206549235930735,275.53520626194467,false,0,Cli-23,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,23,evaluation,Jev,23,1,1,0.043478260869565216,true,true,true,true,true,true,true,1.0,0.9782608695652174,true,48068.0,552.0,0.0021298930800000004,762.3366949846968,false,0,Cli-23,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,23,evaluation,GPT-Nano,23,1,1,0.043478260869565216,true,true,true,true,true,true,true,1.0,0.9782608695652174,true,39253.0,437.0,0.008858676749999999,2682.7128729783,false,0,Cli-23,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,24,evaluation,Random,23,1,11.774,0.5119130434782603,0.04,0.04,0.085,0.138,0.222,0.537,1.0,0.16295548045361113,0.5098260869565214,true,,,0.0,,false,0,Cli-24,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,24,evaluation,BM25,23,1,2,0.08695652173913043,false,false,true,true,true,true,true,0.5,0.9347826086956522,true,,,0.0,,false,0,Cli-24,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,24,evaluation,Embedding,23,1,1,0.043478260869565216,true,true,true,true,true,true,true,1.0,0.9782608695652174,true,8463.69632034632,0.0,0.00017858399235930737,225.09435050693963,false,0,Cli-24,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,24,evaluation,Jev,23,1,1,0.043478260869565216,true,true,true,true,true,true,true,1.0,0.9782608695652174,true,45565.0,552.0,0.0020189851500000003,1404.6270970138721,false,0,Cli-24,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,24,evaluation,GPT-Nano,23,1,1,0.043478260869565216,true,true,true,true,true,true,true,1.0,0.9782608695652174,true,36990.0,437.0,0.00838118375,3169.5334509713575,false,0,Cli-24,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,25,evaluation,Random,23,1,11.979,0.520826086956522,0.04,0.04,0.085,0.132,0.219,0.514,1.0,0.16045223748783785,0.5009130434782612,true,,,0.0,,false,0,Cli-25,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,25,evaluation,BM25,23,1,2,0.08695652173913043,false,false,true,true,true,true,true,0.5,0.9347826086956522,true,,,0.0,,false,0,Cli-25,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,25,evaluation,Embedding,23,1,2,0.08695652173913043,false,false,true,true,true,true,true,0.5,0.9347826086956522,true,8415.19632034632,0.0,0.00017756064235930735,252.32182949548587,false,0,Cli-25,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,25,evaluation,Jev,23,1,1,0.043478260869565216,true,true,true,true,true,true,true,1.0,0.9782608695652174,true,44013.0,552.0,0.00195021603,943.5293829883449,false,0,Cli-25,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,25,evaluation,GPT-Nano,23,1,1,0.043478260869565216,true,true,true,true,true,true,true,1.0,0.9782608695652174,true,35625.0,437.0,0.008093168750000001,4561.052304983605,false,0,Cli-25,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
